schoolname,state,countgroup,localegroup,bodyparts,prohibited
Akron Early College High School,OH,200-499,city,[null],
Bonney Lake High School,WA,1000-1500,suburb,"[""chest"",""midriff""]",none
Rogers High School,TX,200-499,rural,"[""chest"",""midriff"",""torso""]",none
Athens High,WI,< 200,rural,"[""midriff""]",none
Excelsior Springs High,MO,500-999,town,"[""midriff""]",none
Byron Nelson High School,TX,1500+,rural,"[""midriff""]",none
Celina High School,TX,500-999,rural,"[""cleavage"",""midriff""]",none
Frontenac Sr. High School,KS,200-499,town,[null],
Queen City High School,TX,200-499,town,"[""midriff""]",none
Macon Sr. High,MO,200-499,town,"[""midriff""]",none
Union High School,IA,200-499,rural,[null],
Sedro Woolley Senior High School,WA,1000-1500,suburb,"[""torso""]",none
Atascadero High,CA,1000-1500,suburb,"[""cleavage"",""midriff""]",none
Agwsr High School,IA,< 200,rural,"[""midriff""]",female
Keystone High School,OH,200-499,rural,"[""midriff""]",none
Cuba High,MO,200-499,town,"[""back"",""midriff""]",none
Ontario High School,OR,500-999,town,"[""back"",""chest"",""buttocks"",""cleavage"",""midriff""]",none
Goshen Central High School,NY,500-999,rural,[null],
Batesville High School,AR,500-999,rural,"[""chest"",""buttocks""]",female
Alamo Heights High School,TX,1500+,suburb,[null],
Rancho Verde High,CA,1500+,suburb,"[""buttocks"",""midriff""]",none
South Senior High,MN,1500+,city,[null],
Sinton High School,TX,500-999,town,"[""midriff""]",none
Lompoc High,CA,1000-1500,suburb,"[""midriff""]",none
Eastern High School,MI,500-999,rural,"[""back"",""midriff""]",none
Shelby Co High Sch,AL,500-999,town,"[""midriff""]",none
Calhoun High School,GA,1000-1500,town,"[""midriff""]",none
Alonso High School,FL,1500+,suburb,[null],
Mira Mesa High,CA,1500+,city,"[""midriff""]",none
Independence High School,MS,200-499,rural,"[""back"",""chest"",""cleavage"",""midriff""]",none
Somerset High,WI,200-499,town,"[""cleavage"",""midriff""]",none
Blue Ridge High School,TX,< 200,rural,"[""cleavage"",""midriff"",""torso""]",none
Kalkaska High School,MI,200-499,town,"[""midriff""]",none
La Jolla High,CA,1500+,city,"[""midriff""]",none
West Grand High School,CO,< 200,rural,[null],
Park Hill High,MO,1500+,city,"[""back"",""midriff""]",none
North High School,OK,1500+,suburb,"[""cleavage"",""midriff""]",none
Thunder Ridge High School,KS,< 200,rural,[null],
Calera High Sch,AL,500-999,rural,"[""back"",""chest""]",none
Pekin Community High School,IA,200-499,rural,"[""buttocks"",""cleavage"",""midriff""]",none
Brindlee Mt High Sch,AL,200-499,rural,"[""midriff""]",none
Weston High,MA,500-999,suburb,"[""buttocks"",""midriff"",""torso""]",none
Soroco High School,CO,< 200,rural,"[""midriff""]",none
Waconia Senior High,MN,1000-1500,town,"[""cleavage"",""midriff""]",none
San Jon High,NM,< 200,rural,"[""midriff""]",none
Joseph Case High,MA,500-999,suburb,"[""buttocks"",""midriff""]",none
Wharton High School,TX,500-999,town,"[""cleavage""]",none
Leavenworth Sr High,KS,1000-1500,town,"[""chest"",""buttocks"",""midriff""]",none
Illinois Valley High School,OR,200-499,rural,"[""chest"",""cleavage"",""midriff""]",none
Griffin High School,GA,1000-1500,suburb,"[""cleavage"",""midriff""]",none
Colchester High School,VT,500-999,rural,[null],
West Hempstead High School,NY,500-999,suburb,"[""torso""]",none
Monte Vista High,CA,1500+,suburb,[null],
Century High,MD,1000-1500,rural,"[""back"",""buttocks"",""cleavage"",""midriff""]",none
Olton High School,TX,< 200,rural,"[""midriff""]",female
Little Miami High School,OH,1000-1500,suburb,"[""buttocks"",""cleavage"",""midriff""]",none
Jefferson High,WI,500-999,town,"[""back"",""cleavage"",""midriff""]",none
Cedar Grove-Belgium High,WI,200-499,rural,"[""cleavage"",""midriff""]",none
Hominy High School,OK,< 200,town,"[""midriff""]",none
Glen Rose High School,TX,500-999,rural,"[""midriff"",""torso""]",female
